lote_id,num_items,capacidad,valor_total,peso_usado,tiempo_segundos
0,400,6502,9536,6501,0.007978200912475586
1,400,4518,7830,4518,0.015067577362060547
2,400,5606,8441,5604,0.008357048034667969
3,400,6620,8980,6620,0.00789189338684082
4,400,4734,7858,4734,0.018280029296875
5,400,5943,8651,5941,0.007261753082275391
6,400,6842,9571,6841,0.0068018436431884766
7,400,6353,9015,6353,0.00722503662109375
8,400,6581,9037,6581,0.008505582809448242
9,400,6974,9529,6974,0.0076982975006103516
10,400,4361,8114,4361,0.008342266082763672
11,400,5572,8307,5572,0.0075664520263671875
12,400,6001,9034,6001,0.008025884628295898
13,400,5100,8422,5100,0.014073610305786133
14,400,5047,8025,5047,0.008290290832519531
15,400,6181,8915,6181,0.016394615173339844
16,400,4928,8053,4928,0.02219986915588379
17,400,6066,9174,6066,0.017283201217651367
18,400,5556,9388,5556,0.007838964462280273
19,400,5588,8683,5588,0.008627653121948242
20,400,6478,9188,6478,0.007206916809082031
21,400,6465,9112,6465,0.006975412368774414
22,400,4248,7623,4247,0.008878231048583984
23,400,5326,8093,5326,0.015882015228271484
24,400,4195,7525,4195,0.020484447479248047
25,400,4844,7924,4844,0.027126073837280273
26,400,5711,8376,5709,0.007720232009887695
27,400,4523,7998,4523,0.009825706481933594
28,400,4590,8085,4590,0.009090423583984375
29,400,4329,8048,4329,0.021500587463378906
30,400,5653,8765,5653,0.01676774024963379
31,400,5423,8582,5423,0.018251419067382812
32,400,6842,9368,6842,0.007485389709472656
33,400,5101,8145,5101,0.009472370147705078
34,400,4471,7535,4471,0.013716697692871094
35,400,5987,8571,5987,0.007434368133544922
36,400,7040,8881,7038,0.008038043975830078
37,400,4777,7681,4777,0.010506153106689453
38,400,4210,7826,4210,0.024463415145874023
39,400,5851,9141,5851,0.009492874145507812
40,400,5471,8535,5470,0.007585287094116211
41,400,4275,7735,4275,0.03480982780456543
42,400,6447,9219,6447,0.0077397823333740234
43,400,4569,7752,4569,0.008290290832519531
44,400,5496,8230,5496,0.007367134094238281
45,400,6356,9152,6356,0.007355928421020508
46,400,5191,8487,5191,0.008517980575561523
47,400,4928,8184,4928,0.01726698875427246
48,400,6600,9016,6600,0.014753103256225586
49,400,5261,8251,5261,0.008369684219360352
50,400,4244,6969,4244,0.009844303131103516
51,400,6608,9157,6607,0.00809335708618164
52,400,6479,9374,6479,0.01969742774963379
53,400,5396,8145,5396,0.008994340896606445
54,400,4190,7739,4190,0.008828401565551758
55,400,5652,8259,5651,0.009422779083251953
56,400,5396,8248,5395,0.015291690826416016
57,400,5616,8577,5616,0.007272958755493164
58,400,6119,8714,6119,0.00816965103149414
59,400,6399,9420,6399,0.016376018524169922
60,400,5022,7937,5022,0.025320768356323242
61,400,5601,8601,5601,0.01743793487548828
62,400,4897,8038,4897,0.008435964584350586
63,400,4979,8312,4979,0.008954286575317383
64,400,5927,8834,5927,0.007935285568237305
65,400,6152,8661,6152,0.016516447067260742
66,400,6131,8502,6131,0.015848636627197266
67,400,6624,9202,6622,0.007302761077880859
68,400,6128,8481,6128,0.007235527038574219
69,400,4614,7656,4614,0.01986980438232422
70,400,5522,8870,5522,0.008823871612548828
71,400,6033,8517,6033,0.016273975372314453
72,400,4096,7310,4096,0.017181396484375
73,400,4144,7571,4143,0.0076732635498046875
74,400,6710,9925,6710,0.00800013542175293
75,400,5104,8064,5104,0.007673501968383789
76,400,6747,9794,6746,0.007700681686401367
77,400,5301,8802,5301,0.008898496627807617
78,400,4334,7561,4334,0.0407712459564209
79,400,5858,8633,5858,0.014844179153442383
80,400,5264,8716,5264,0.008093595504760742
81,400,4138,7402,4138,0.019640445709228516
82,400,6057,8677,6056,0.014773845672607422
83,400,5656,8336,5656,0.008252859115600586
84,400,6197,8977,6197,0.023553848266601562
85,400,6464,9179,6464,0.0073168277740478516
86,400,6000,8579,5999,0.007190227508544922
87,400,6732,9325,6732,0.01620173454284668
88,400,6843,9372,6840,0.007299661636352539
89,400,5044,8386,5043,0.010174751281738281
90,400,5313,8287,5312,0.00841832160949707
91,400,7333,9200,7333,0.008111238479614258
92,400,5664,8496,5663,0.008584022521972656
93,400,4923,8192,4922,0.01636195182800293
94,400,6189,9326,6188,0.007340431213378906
95,400,6318,8902,6316,0.007073402404785156
96,400,4284,7828,4284,0.02076244354248047
97,400,6977,9467,6977,0.00759124755859375
98,400,5722,8649,5720,0.007361650466918945
99,400,4980,7549,4980,0.010345935821533203
