iteracion,score_final,estado,archivo,timestamp
1,0.0,ErrorSintaxis,,
2,0.0,ErrorSintaxis,,
3,1.3433558059348345,OK,heuristica_iter3.py,2025-11-03 03:48:32
4,1.0,OK,heuristica_iter4.py,2025-11-03 03:49:40
5,1.0,OK,heuristica_iter5.py,2025-11-03 03:50:29
6,1.0,OK,heuristica_iter6.py,2025-11-03 03:51:28
7,1.0,OK,heuristica_iter7.py,2025-11-03 03:52:45
8,1.0,OK,heuristica_iter8.py,2025-11-03 03:53:47
9,1.0,OK,heuristica_iter9.py,2025-11-03 03:54:30
10,1.0,OK,heuristica_iter10.py,2025-11-03 03:55:22
11,1.0,OK,heuristica_iter11.py,2025-11-03 03:56:31
12,1.0,OK,heuristica_iter12.py,2025-11-03 03:57:33
13,1.0,OK,heuristica_iter13.py,2025-11-03 03:58:15
14,1.0,OK,heuristica_iter14.py,2025-11-03 03:59:07
15,1.0,OK,heuristica_iter15.py,2025-11-03 04:00:01
16,1.0,OK,heuristica_iter16.py,2025-11-03 04:01:14
17,1.3433558059348345,OK,heuristica_iter17.py,2025-11-03 04:02:07
18,1.0,OK,heuristica_iter18.py,2025-11-03 04:03:20
19,1.0,OK,heuristica_iter19.py,2025-11-03 04:04:20
20,1.0,OK,heuristica_iter20.py,2025-11-03 04:05:16
21,1.0,OK,heuristica_iter21.py,2025-11-03 04:06:29
22,1.3433558059348345,OK,heuristica_iter22.py,2025-11-03 04:07:09
23,1.3433558059348345,OK,heuristica_iter23.py,2025-11-03 04:08:09
24,1.3433558059348345,OK,heuristica_iter24.py,2025-11-03 04:09:13
25,1.3433558059348345,OK,heuristica_iter25.py,2025-11-03 04:10:25
26,1.3433558059348345,OK,heuristica_iter26.py,2025-11-03 04:11:55
27,1.3433558059348345,OK,heuristica_iter27.py,2025-11-03 04:12:42
28,1.3433558059348345,OK,heuristica_iter28.py,2025-11-03 04:13:58
29,1.3433558059348345,OK,heuristica_iter29.py,2025-11-03 04:14:57
30,1.3433558059348345,OK,heuristica_iter30.py,2025-11-03 04:16:22
31,1.3433558059348345,OK,heuristica_iter31.py,2025-11-03 04:17:17
32,1.3433558059348345,OK,heuristica_iter32.py,2025-11-03 04:18:15
33,1.3433558059348345,OK,heuristica_iter33.py,2025-11-03 04:19:02
34,0.0,ErrorSintaxis,,
35,1.3433558059348345,OK,heuristica_iter35.py,2025-11-03 04:21:22
36,1.3433558059348345,OK,heuristica_iter36.py,2025-11-03 04:22:16
37,1.3433558059348345,OK,heuristica_iter37.py,2025-11-03 04:23:40
38,1.3433558059348345,OK,heuristica_iter38.py,2025-11-03 04:25:06
39,1.3872482957787406,OK,heuristica_iter39.py,2025-11-03 04:27:56
40,1.3872482957787406,OK,heuristica_iter40.py,2025-11-03 04:30:46
41,1.3872482957787406,OK,heuristica_iter41.py,2025-11-03 04:33:32
42,1.3872482957787406,OK,heuristica_iter42.py,2025-11-03 04:36:08
43,1.3872482957787406,OK,heuristica_iter43.py,2025-11-03 04:37:42
44,1.3872482957787406,OK,heuristica_iter44.py,2025-11-03 04:39:23
45,1.3872482957787406,OK,heuristica_iter45.py,2025-11-03 04:40:56
46,0.0,ErrorSintaxis,,
47,1.3872482957787406,OK,heuristica_iter47.py,2025-11-03 04:43:23
48,1.3872482957787406,OK,heuristica_iter48.py,2025-11-03 04:44:41
49,1.3872482957787406,OK,heuristica_iter49.py,2025-11-03 04:45:56
50,1.3872482957787406,OK,heuristica_iter50.py,2025-11-03 04:47:01
51,1.3657000628685267,OK,heuristica_iter51.py,2025-11-03 04:48:57
52,1.3872482957787406,OK,heuristica_iter52.py,2025-11-03 04:49:55
53,1.3872482957787406,OK,heuristica_iter53.py,2025-11-03 04:51:16
54,1.3872482957787406,OK,heuristica_iter54.py,2025-11-03 04:52:34
55,1.3872482957787406,OK,heuristica_iter55.py,2025-11-03 04:53:32
56,1.3872482957787406,OK,heuristica_iter56.py,2025-11-03 04:54:56
57,1.3872482957787406,OK,heuristica_iter57.py,2025-11-03 04:56:12
58,1.3872482957787406,OK,heuristica_iter58.py,2025-11-03 04:57:43
59,1.3872482957787406,OK,heuristica_iter59.py,2025-11-03 04:58:57
60,1.3872482957787406,OK,heuristica_iter60.py,2025-11-03 05:00:41
61,1.3872482957787406,OK,heuristica_iter61.py,2025-11-03 05:01:33
62,1.3872482957787406,OK,heuristica_iter62.py,2025-11-03 05:02:30
63,1.3872482957787406,OK,heuristica_iter63.py,2025-11-03 05:04:18
64,1.3872482957787406,OK,heuristica_iter64.py,2025-11-03 05:05:17
65,1.3872482957787406,OK,heuristica_iter65.py,2025-11-03 05:06:08
66,1.3819852593228108,OK,heuristica_iter66.py,2025-11-03 05:07:12
67,1.3872482957787406,OK,heuristica_iter67.py,2025-11-03 05:08:07
68,1.3872482957787406,OK,heuristica_iter68.py,2025-11-03 05:09:20
69,1.3872482957787406,OK,heuristica_iter69.py,2025-11-03 05:10:42
70,1.3872482957787406,OK,heuristica_iter70.py,2025-11-03 05:11:39
71,1.3872482957787406,OK,heuristica_iter71.py,2025-11-03 05:12:37
72,1.3923327062777617,OK,heuristica_iter72.py,2025-11-03 05:14:26
73,1.3923327062777617,OK,heuristica_iter73.py,2025-11-03 05:16:10
74,1.3923327062777617,OK,heuristica_iter74.py,2025-11-03 05:17:42
75,1.3923327062777617,OK,heuristica_iter75.py,2025-11-03 05:19:49
76,1.3923327062777617,OK,heuristica_iter76.py,2025-11-03 05:22:22
77,1.3923327062777617,OK,heuristica_iter77.py,2025-11-03 05:23:55
78,1.3923327062777617,OK,heuristica_iter78.py,2025-11-03 05:25:24
79,1.3923327062777617,OK,heuristica_iter79.py,2025-11-03 05:27:27
80,1.3923327062777617,OK,heuristica_iter80.py,2025-11-03 05:28:47
81,1.3923327062777617,OK,heuristica_iter81.py,2025-11-03 05:30:14
82,1.3923327062777617,OK,heuristica_iter82.py,2025-11-03 05:31:08
83,0.0,ErrorSintaxis,,
84,1.3923327062777617,OK,heuristica_iter84.py,2025-11-03 05:35:04
85,1.3923327062777617,OK,heuristica_iter85.py,2025-11-03 05:36:36
86,1.3976683787923816,OK,heuristica_iter86.py,2025-11-03 05:37:51
87,1.3923327062777617,OK,heuristica_iter87.py,2025-11-03 05:39:19
88,1.3976683787923816,OK,heuristica_iter88.py,2025-11-03 05:40:56
